Trial,V1,Participant,Congruity,Reaction_time,Response,Correctness,Order_number,Finger_Screen
0,0,AD,Yes,-43.1864649710711,lalt,1,Middle,Middle
1,1,AD,No,-1.2800925054471,lalt,1,Index,Middle
2,2,AD,No,0.519336670381023,lalt,1,Middle,Index
3,3,AD,Yes,0.413999434653675,lcmd,1,Index,Index
4,4,AD,No,0.471183138294151,lalt,1,Middle,Index
5,5,AD,No,0.450146212184336,lcmd,1,Index,Middle
6,6,AD,Yes,0.536160830955509,lalt,1,Middle,Middle
7,7,AD,Yes,0.447952965984598,lcmd,1,Index,Index
8,8,AD,No,0.627908918506023,lcmd,1,Index,Middle
9,9,AD,Yes,0.579137889412209,lalt,1,Middle,Middle
10,10,AD,No,1.14827373387527,lalt,1,Middle,Index
11,11,AD,Yes,0.558197550207865,lcmd,1,Index,Index
12,12,AD,Yes,0.614634596090752,lcmd,1,Index,Index
13,13,AD,No,0.519288917153631,lcmd,1,Index,Middle
14,14,AD,Yes,0.472147170477569,lalt,1,Middle,Middle
15,15,AD,No,0.498577296524331,lalt,1,Middle,Index
16,16,AD,Yes,0.632344460487388,lalt,1,Middle,Middle
17,17,AD,No,0.405511294945597,lalt,1,Middle,Index
18,18,AD,No,0.476186803495523,lcmd,1,Index,Middle
19,19,AD,Yes,0.541773242014472,lcmd,1,Index,Index
20,20,AD,Yes,0.423150988074497,lalt,1,Middle,Middle
21,21,AD,No,0.384381347254362,lalt,1,Middle,Index
22,22,AD,Yes,0.44737074371659,lcmd,1,Index,Index
23,23,AD,No,0.569715158082545,lcmd,1,Index,Middle
24,24,AD,No,0.456001819134713,lcmd,1,Index,Middle
25,25,AD,Yes,0.629428163263924,lalt,1,Middle,Middle
26,26,AD,No,0.468425712350268,lalt,1,Middle,Index
27,27,AD,Yes,0.4906466921326,lcmd,1,Index,Index
28,28,AD,Yes,0.519319924327988,lalt,1,Middle,Middle
29,29,AD,No,0.579364447202522,lalt,1,Middle,Index
30,30,AD,Yes,0.584891183348361,lcmd,1,Index,Index
31,31,AD,No,0.529165682441089,lcmd,1,Index,Middle
32,32,AD,No,0.459668663528305,lcmd,1,Index,Middle
33,33,AD,Yes,0.568001713184628,lalt,1,Middle,Middle
34,34,AD,No,0.587290189857583,lalt,1,Middle,Index
35,35,AD,Yes,0.473872661706991,lcmd,1,Index,Index
36,36,AD,Yes,0.845522466138959,lalt,1,Index,Index
37,37,AD,Yes,0.600253197771963,lalt,1,Middle,Middle
38,38,AD,No,0.582685026561364,lcmd,1,Index,Middle
39,39,AD,No,0.645112404064264,lalt,1,Middle,Index
40,40,AD,No,0.598077886085946,lalt,1,Middle,Index
41,41,AD,Yes,0.456294766906638,lcmd,1,Index,Index
42,42,AD,No,0.490009478037223,lcmd,1,Index,Middle
43,43,AD,Yes,0.500706421479094,lalt,1,Middle,Middle
44,44,AD,No,0.522101334924798,lcmd,1,Index,Middle
45,45,AD,Yes,0.451015602168638,lcmd,1,Index,Index
46,46,AD,No,0.552100638067373,lalt,1,Middle,Index
47,47,AD,Yes,0.498197053163324,lalt,1,Middle,Middle
48,48,AD,No,0.56832772096385,lalt,1,Middle,Index
49,49,AD,Yes,0.545412050269078,lcmd,1,Index,Index
50,50,AD,Yes,0.76492589627162,lalt,1,Middle,Middle
51,51,AD,No,0.599816071940609,lcmd,1,Index,Middle
52,52,AD,No,0.490200869098771,lcmd,1,Index,Middle
53,53,AD,Yes,0.467209138954047,lalt,1,Middle,Middle
54,54,AD,No,0.473846192122437,lalt,1,Middle,Index
55,55,AD,Yes,0.451300231006485,lcmd,1,Index,Index
56,56,AD,Yes,0.510006204387196,lalt,1,Middle,Middle
57,57,AD,No,0.600198638159782,lalt,1,Middle,Index
58,58,AD,Yes,0.400197125610418,lcmd,1,Index,Index
59,59,AD,No,0.449990906112362,lcmd,1,Index,Middle
60,60,AD,Yes,0.406449451774847,lalt,1,Middle,Middle
61,61,AD,Yes,0.435468895058136,lcmd,1,Index,Index
62,62,AD,No,0.400053811806742,lalt,1,Middle,Index
63,63,AD,No,0.511571365676332,lcmd,1,Index,Middle
64,64,AD,Yes,0.493195818830259,lcmd,1,Index,Index
65,65,AD,No,0.510748486511886,lcmd,1,Index,Middle
66,66,AD,No,0.550477675872401,lalt,1,Middle,Index
67,67,AD,Yes,0.560089151374996,lalt,1,Middle,Middle
68,68,AD,Yes,0.409211847523693,lcmd,1,Index,Index
69,69,AD,No,0.569317088334344,lalt,1,Middle,Index
70,70,AD,Yes,0.400204526283801,lalt,1,Middle,Middle
71,71,AD,No,0.456885470240366,lcmd,1,Index,Middle
72,72,AD,Yes,0.403863969945803,lcmd,1,Index,Index
73,73,AD,No,0.427460502530437,lalt,1,Middle,Index
74,74,AD,No,0.447765680414136,lcmd,1,Index,Middle
75,75,AD,Yes,0.391985295631457,lalt,1,Middle,Middle
76,76,AD,Yes,0.357532786019135,lalt,1,Middle,Middle
77,77,AD,No,0.406468952784792,lcmd,1,Index,Middle
78,78,AD,Yes,0.495218741474673,lcmd,1,Index,Index
79,79,AD,No,0.438408204610482,lalt,1,Middle,Index
80,80,AD,Yes,0.445058546634414,lalt,1,Middle,Middle
81,81,AD,No,0.424400891445089,lcmd,1,Index,Middle
82,82,AD,Yes,0.345269924984336,lalt,1,Index,Index
83,83,AD,No,0.419867304072227,lalt,1,Middle,Index
84,84,AD,No,0.441131112119137,lalt,1,Middle,Index
85,85,AD,Yes,0.610552341665652,lcmd,1,Index,Index
86,86,AD,Yes,0.486427822336509,lalt,1,Middle,Middle
87,87,AD,No,0.568534615670842,lcmd,1,Index,Middle
88,88,AD,Yes,0.609006573376291,lcmd,1,Index,Index
89,89,AD,No,0.519362761813682,lalt,1,Middle,Index
90,90,AD,No,0.584261477936479,lcmd,1,Index,Middle
91,91,AD,Yes,0.509272619464923,lalt,1,Middle,Middle
92,92,AD,No,0.535725595708982,lcmd,1,Index,Middle
93,93,AD,Yes,0.48014529924842,lalt,1,Middle,Middle
94,94,AD,Yes,0.521283965732437,lcmd,1,Index,Index
95,95,AD,No,0.57828664996191,lalt,1,Middle,Index
96,96,AD,Yes,0.53927181453912,lalt,1,Middle,Middle
97,97,AD,Yes,0.503767977270741,lcmd,1,Index,Index
98,98,AD,No,0.516588157659839,lcmd,1,Index,Middle
99,99,AD,No,0.466641934111294,lalt,1,Middle,Index
100,100,AD,Yes,0.433200075570539,lalt,1,Middle,Middle
101,101,AD,No,0.445175228780158,lalt,1,Middle,Index
102,102,AD,No,0.573788823373661,lcmd,1,Index,Middle
103,103,AD,Yes,0.443632755614772,lcmd,1,Index,Index
104,104,AD,Yes,0.46424870771591,lalt,1,Middle,Middle
105,105,AD,No,0.48749486977465,lalt,1,Middle,Index
106,106,AD,Yes,0.661835710227024,lcmd,1,Index,Index
107,107,AD,No,0.527141895482828,lcmd,1,Index,Middle
108,108,AD,No,0.571822405164085,lalt,1,Middle,Index
109,109,AD,Yes,0.515898274537221,lalt,1,Middle,Middle
110,110,AD,No,0.550124550389569,lcmd,1,Index,Middle
111,111,AD,Yes,0.555355799768563,lcmd,1,Index,Index
112,112,AD,Yes,0.526072525244672,lcmd,1,Index,Index
113,113,AD,Yes,0.568495127430651,lalt,1,Middle,Middle
114,114,AD,No,0.521100677526533,lcmd,1,Index,Middle
115,115,AD,No,0.422442630154592,lalt,1,Middle,Index
116,116,AD,No,0.458762000035449,lcmd,1,Index,Middle
117,117,AD,Yes,0.466641015734012,lcmd,1,Index,Index
118,118,AD,No,0.454019249044336,lalt,1,Middle,Index
119,119,AD,Yes,0.423336923169018,lalt,1,Middle,Middle
0,0,cam,Yes,-14.5287361145,lalt,0,Middle,Middle
1,1,cam,No,0.98966794014,lalt,1,Index,Middle
2,2,cam,No,0.547359848022,lcmd,1,Middle,Index
3,3,cam,Yes,0.970695972443,lalt,1,Index,Index
4,4,cam,Yes,0.740157985687,lcmd,1,Middle,Middle
5,5,cam,Yes,0.647042942047,lalt,1,Index,Index
6,6,cam,No,0.853317070007,lalt,1,Index,Middle
7,7,cam,No,0.598774051666,lcmd,1,Middle,Index
8,8,cam,No,0.669231176376,lalt,1,Index,Middle
9,9,cam,Yes,0.849858140945,lalt,1,Index,Index
10,10,cam,No,0.625411987305,lcmd,1,Middle,Index
11,11,cam,Yes,0.497505092621,lcmd,1,Middle,Middle
12,12,cam,Yes,0.72941403389,lalt,1,Index,Index
13,13,cam,No,0.883054828644,lalt,1,Index,Middle
14,14,cam,No,0.540287160873,lcmd,1,Middle,Index
15,15,cam,Yes,0.790562152863,lcmd,1,Middle,Middle
16,16,cam,Yes,0.637947034836,lalt,1,Index,Index
17,17,cam,No,0.539016103745,lcmd,1,Middle,Index
18,18,cam,No,0.540011835098,lalt,1,Index,Middle
19,19,cam,Yes,0.385270118713,lcmd,1,Middle,Middle
20,20,cam,No,0.594306898117,lalt,1,Index,Middle
21,21,cam,Yes,0.735632991791,lalt,1,Index,Index
22,22,cam,Yes,0.490358018875,lcmd,1,Middle,Middle
23,23,cam,No,0.56801199913,lcmd,1,Middle,Index
24,24,cam,No,0.773898839951,lalt,1,Index,Middle
25,25,cam,Yes,0.43614897728,lcmd,1,Middle,Middle
26,26,cam,Yes,0.618728923798,lalt,1,Index,Index
27,27,cam,No,0.483415079117,lcmd,1,Middle,Index
28,28,cam,Yes,0.628926849365,lcmd,1,Middle,Middle
29,29,cam,No,0.868446922302,lcmd,1,Middle,Index
30,30,cam,Yes,0.689308023453,lalt,1,Index,Index
31,31,cam,No,0.636588954926,lcmd,0,Index,Middle
32,32,cam,Yes,0.935344839096,lalt,1,Index,Index
33,33,cam,No,0.812906122208,lalt,1,Index,Middle
34,34,cam,No,0.784865999222,lcmd,1,Middle,Index
35,35,cam,Yes,1.07708492279,lcmd,1,Middle,Middle
36,36,cam,No,1.13236198425,lcmd,1,Middle,Index
37,37,cam,No,0.954190826416,lalt,1,Index,Middle
38,38,cam,Yes,0.610712194443,lcmd,1,Middle,Middle
39,39,cam,Yes,0.742769145966,lalt,1,Index,Index
40,40,cam,Yes,0.662047815323,lcmd,1,Middle,Middle
