"P1_roll","P2_roll","P1_cheat","P2_cheat","check","cheated","payoff","th_payoff","ingame","n_game"
2,2,0,0,0,0,2,2,1,1
4,4,0,1,1,1,0,4,1,1
5,5,0,0,0,0,5,5,1,1
3,3,0,1,1,1,0,3,1,1
3,3,0,1,0,1,3,3,1,1
6,6,0,1,0,1,6,6,1,1
6,6,0,1,0,1,6,6,1,1
3,3,0,1,1,1,0,3,1,1
1,1,0,1,0,1,1,1,1,1
1,1,0,1,1,1,0,1,1,1
1,1,0,0,1,0,0.5,1,1,1
2,2,0,1,1,1,0,2,1,1
5,5,0,1,1,1,0,5,1,1
5,5,0,1,1,1,0,5,1,1
1,1,0,1,1,1,0,1,1,1
3,3,0,1,0,1,3,3,1,1
6,6,0,0,1,0,3,6,1,1
5,5,0,1,0,1,5,5,1,1
3,3,0,1,0,1,3,3,1,1
6,6,0,0,1,0,3,6,1,1
3,3,0,1,0,1,3,3,0,1
5,5,0,1,0,1,0,5,0,1
2,2,0,0,0,0,0,2,0,1
3,3,0,1,0,1,0,3,0,1
3,3,0,1,1,1,0,3,0,1
6,6,0,1,1,1,0,6,0,1
1,1,0,1,1,1,0,1,0,1
2,2,0,1,1,1,0,2,0,1
5,5,0,1,0,1,0,5,0,1
2,2,0,1,0,1,0,2,0,1
6,6,0,1,1,1,0,6,0,1
6,6,0,1,0,1,0,6,0,1
6,6,0,1,0,1,0,6,0,1
2,2,0,1,1,1,0,2,0,1
3,3,0,1,1,1,0,3,0,1
4,4,0,1,1,1,0,4,0,1
5,5,0,1,1,1,0,5,0,1
6,6,0,1,1,1,0,6,0,1
5,5,0,1,1,1,0,5,0,1
3,3,0,0,0,0,0,3,0,1
6,6,0,1,0,1,0,6,0,1
2,2,0,1,1,1,0,2,0,1
6,6,0,1,0,1,0,6,0,1
3,3,0,1,1,1,0,3,0,1
6,6,0,1,1,1,0,6,0,1
4,4,0,1,1,1,0,4,0,1
5,5,0,1,0,1,0,5,0,1
2,2,0,1,1,1,0,2,0,1
4,4,0,1,0,1,0,4,0,1
6,6,0,1,1,1,0,6,0,1
3,3,0,1,0,1,0,3,0,1
6,6,0,1,0,1,0,6,0,1
3,3,0,1,0,1,0,3,0,1
2,2,0,0,1,0,0,2,0,1
3,3,0,1,0,1,0,3,0,1
5,5,0,1,1,1,0,5,0,1
2,2,0,1,1,1,0,2,0,1
1,1,0,1,0,1,0,1,0,1
5,5,0,1,1,1,0,5,0,1
5,5,0,1,1,1,0,5,0,1
6,6,0,1,1,1,0,6,0,1
1,1,0,1,1,1,0,1,0,1
4,4,0,0,0,0,0,4,0,1
6,6,0,1,0,1,0,6,0,1
1,1,0,0,1,0,0,1,0,1
2,2,0,1,0,1,0,2,0,1
1,1,0,1,1,1,0,1,0,1
2,2,0,1,1,1,0,2,0,1
4,4,0,1,1,1,0,4,0,1
1,1,0,1,1,1,0,1,0,1
6,6,0,1,0,1,0,6,0,1
1,1,0,1,1,1,0,1,0,1
6,6,0,1,0,1,0,6,0,1
6,6,0,1,1,1,0,6,0,1
1,1,0,1,1,1,0,1,0,1
2,2,0,1,1,1,0,2,0,1
6,6,0,1,0,1,0,6,0,1
5,5,0,0,0,0,0,5,0,1
3,3,0,1,1,1,0,3,0,1
2,2,0,1,1,1,0,2,0,1
2,2,0,1,0,1,0,2,0,1
2,2,0,1,1,1,0,2,0,1
2,2,0,1,1,1,0,2,0,1
3,3,0,1,0,1,0,3,0,1
1,1,0,1,1,1,0,1,0,1
2,2,0,1,0,1,0,2,0,1
2,2,0,1,0,1,0,2,0,1
3,3,0,1,1,1,0,3,0,1
4,4,0,1,1,1,0,4,0,1
3,3,0,1,1,1,0,3,0,1
3,3,0,1,0,1,0,3,0,1
4,4,0,1,0,1,0,4,0,1
5,5,0,1,1,1,0,5,0,1
3,3,0,1,1,1,0,3,0,1
3,3,0,1,0,1,0,3,0,1
1,1,0,1,0,1,0,1,0,1
1,1,0,1,1,1,0,1,0,1
6,6,0,1,0,1,0,6,0,1
1,1,0,0,1,0,0,1,0,1
6,6,0,1,1,1,0,6,0,1
6,6,0,0,0,0,6,6,1,2
2,2,0,1,1,1,0,2,1,2
3,3,0,1,0,1,3,3,1,2
3,3,0,1,1,1,0,3,1,2
6,6,0,1,1,1,0,6,1,2
4,4,0,1,0,1,4,4,1,2
2,2,0,1,0,1,2,2,1,2
4,4,0,1,0,1,4,4,1,2
3,3,0,1,0,1,3,3,1,2
4,4,0,1,0,1,4,4,1,2
4,4,0,0,0,0,4,4,1,2
3,3,0,1,0,1,3,3,1,2
4,4,0,0,0,0,4,4,1,2
6,6,0,1,1,1,0,6,1,2
3,3,0,1,0,1,3,3,1,2
2,2,0,1,0,1,2,2,1,2
6,6,0,1,0,1,6,6,1,2
4,4,0,1,1,1,0,4,1,2
2,2,0,1,1,1,0,2,1,2
4,4,0,1,1,1,0,4,1,2
3,3,0,1,1,1,0,3,1,2
5,5,0,1,0,1,5,5,1,2
2,2,0,1,0,1,2,2,1,2
2,2,0,1,1,1,0,2,1,2
1,1,0,0,1,0,0.5,1,1,2
4,4,0,1,1,1,0,4,1,2
5,5,0,1,1,1,0,5,1,2
5,5,0,1,0,1,5,5,1,2
4,4,0,1,1,1,0,4,1,2
6,6,0,0,0,0,6,6,1,2
1,1,0,1,1,1,0,1,1,2
5,5,0,0,1,0,2.5,5,1,2
6,6,0,1,0,1,6,6,1,2
2,2,0,0,1,0,1,2,1,2
4,4,0,0,0,0,4,4,1,2
