"P1_roll","P2_roll","P1_cheat","P2_cheat","check","cheated","payoff","th_payoff","ingame","n_game"
6,1,1,0,0,0,0,0,1,1
6,6,0,0,1,0,3,6,1,1
6,5,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,6,1,0,0,1,6,6,1,1
6,5,1,0,0,0,0,0,1,1
6,5,0,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,1,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,3,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,3,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,2,1,0,0,0,0,0,1,1
6,6,1,0,0,1,6,6,1,1
6,2,1,0,0,0,0,0,1,1
6,1,1,0,0,0,0,0,1,1
6,6,1,0,0,1,6,6,1,1
6,1,1,0,0,0,0,0,1,1
6,1,1,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,2,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,1,1,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,3,1,0,0,0,0,0,1,1
6,3,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,1,1,0,0,0,0,0,1,1
6,2,1,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,2,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,2,1,0,0,0,0,0,1,1
6,4,0,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,5,0,0,0,0,0,0,1,1
6,1,1,0,0,0,0,0,1,1
6,4,1,0,0,0,0,0,1,1
6,6,1,0,1,1,0,6,1,1
6,2,1,0,0,0,0,0,1,1
6,2,0,0,0,0,0,0,1,1
6,6,0,0,1,0,3,6,1,1
6,6,0,0,0,0,6,6,1,1
6,5,1,0,0,0,0,0,1,1
6,6,1,0,1,1,0,6,1,1
6,6,1,0,0,1,6,6,1,1
6,2,0,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,6,1,0,0,1,6,6,1,1
6,4,1,0,0,0,0,0,1,1
6,1,1,0,0,0,0,0,1,1
6,1,0,0,0,0,0,0,1,1
6,2,1,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,5,1,0,0,0,0,0,1,1
6,6,1,0,1,1,0,6,1,1
6,1,1,0,0,0,0,0,1,1
6,5,0,0,0,0,0,0,1,1
6,3,1,0,0,0,0,0,1,1
6,6,1,0,0,1,6,6,0,1
6,5,1,0,0,0,0,0,0,1
6,3,1,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,4,0,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,5,1,0,0,0,0,0,0,1
6,6,1,0,0,1,0,6,0,1
6,4,1,0,0,0,0,0,0,1
6,1,1,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,5,1,0,0,0,0,0,0,1
6,3,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,0,0,1
6,3,0,0,0,0,0,0,0,1
6,2,1,0,0,0,0,0,0,1
6,6,1,0,1,1,0,6,0,1
6,5,0,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,1,1,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,6,1,0,0,1,0,6,0,1
6,5,1,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,4,0,0,0,0,0,0,0,1
6,6,1,0,1,1,0,6,0,1
6,2,1,0,0,0,0,0,0,1
6,2,1,0,0,0,0,0,0,1
6,2,0,0,0,0,0,0,0,1
6,5,1,0,0,0,0,0,0,1
6,4,1,0,0,0,0,0,0,1
6,3,1,0,0,0,0,0,0,1
6,2,1,0,0,0,0,0,0,1
6,5,1,0,0,0,0,0,1,2
6,2,1,0,0,0,0,0,1,2
6,5,0,0,0,0,0,0,1,2
6,2,1,0,0,0,0,0,1,2
6,1,0,0,0,0,0,0,1,2
6,4,1,0,0,0,0,0,1,2
6,6,0,0,0,0,6,6,1,2
6,5,1,0,0,0,0,0,1,2
6,1,1,0,0,0,0,0,1,2
6,3,1,0,0,0,0,0,1,2
6,1,1,0,0,0,0,0,1,2
6,1,1,0,0,0,0,0,1,2
6,1,0,0,0,0,0,0,1,2
6,2,0,0,0,0,0,0,1,2
6,2,1,0,0,0,0,0,1,2
6,5,1,0,0,0,0,0,1,2
6,1,1,0,0,0,0,0,1,2
6,1,1,0,0,0,0,0,1,2
6,1,1,0,0,0,0,0,1,2
6,1,1,0,0,0,0,0,1,2
6,5,1,0,0,0,0,0,1,2
6,3,1,0,0,0,0,0,1,2
6,3,0,0,0,0,0,0,1,2
6,5,1,0,0,0,0,0,1,2
6,3,1,0,0,0,0,0,1,2
6,2,1,0,0,0,0,0,1,2
6,5,1,0,0,0,0,0,1,2
6,2,1,0,0,0,0,0,1,2
6,3,1,0,0,0,0,0,1,2
6,2,0,0,0,0,0,0,1,2
6,6,1,0,1,1,0,6,1,2
6,1,1,0,0,0,0,0,1,2
6,6,1,0,0,1,6,6,1,2
6,5,1,0,0,0,0,0,1,2
6,5,1,0,0,0,0,0,1,2
6,2,0,0,0,0,0,0,1,2
6,3,1,0,0,0,0,0,1,2
6,1,1,0,0,0,0,0,1,2
6,1,0,0,0,0,0,0,1,2
6,4,1,0,0,0,0,0,1,2
6,4,0,0,0,0,0,0,1,2
6,2,1,0,0,0,0,0,1,2
6,2,1,0,0,0,0,0,1,2
6,4,1,0,0,0,0,0,1,2
6,1,0,0,0,0,0,0,1,2
6,6,0,0,1,0,3,6,1,2
6,4,1,0,0,0,0,0,1,2
6,6,1,0,1,1,0,6,1,2
6,2,1,0,0,0,0,0,1,2
6,1,0,0,0,0,0,0,1,2
6,3,0,0,0,0,0,0,1,2
6,4,1,0,0,0,0,0,1,2
6,5,1,0,0,0,0,0,1,2
6,5,1,0,0,0,0,0,1,2
6,3,1,0,0,0,0,0,1,2
